geo_level,geo_code,geo_version,name,variable,value
municipality,3084,,Kheis,Tap water inside dwelling,3469
municipality,5263,,Abaqulusi,Tap water inside dwelling,49714
municipality,5238,,Alfred Duma,Tap water inside dwelling,91171
district,244,,Alfred Nzo,Tap water inside dwelling,21737
municipality,2124,,Amahlathi,Tap water inside dwelling,14801
district,525,,Amajuba,Tap water inside dwelling,180974
district,212,,Amathole,Tap water inside dwelling,92005
municipality,9334,,Ba-Phalaborwa,Tap water inside dwelling,49942
municipality,1053,,Beaufort West,Tap water inside dwelling,40048
municipality,9366,,Bela-Bela,Tap water inside dwelling,21808
municipality,1013,,Bergrivier,Tap water inside dwelling,58210
municipality,5276,,Big Five Hlabisa,Tap water inside dwelling,7094
municipality,1047,,Bitou,Tap water inside dwelling,36277
municipality,9351,,Blouberg,Tap water inside dwelling,1206
municipality,2102,,Blue Crane Route,Tap water inside dwelling,13294
district,637,,Bojanala,Tap water inside dwelling,328582
municipality,1025,,Breede Valley,Tap water inside dwelling,137487
district,292,,Buffalo City,Tap water inside dwelling,428884
municipality,8325,,Bushbuckridge,Tap water inside dwelling,33414
district,210,,Sarah Baartman,Tap water inside dwelling,241744
municipality,1033,,Cape Agulhas,Tap water inside dwelling,31072
district,102,,Cape Winelands,Tap water inside dwelling,715672
district,935,,Capricorn,Tap water inside dwelling,220398
municipality,1012,,Cederberg,Tap water inside dwelling,43878
district,105,,Central Karoo,Tap water inside dwelling,56235
municipality,8301,,Chief Albert Luthuli,Tap water inside dwelling,18779
district,213,,Chris Hani,Tap water inside dwelling,178629
district,191,,City of Cape Town,Tap water inside dwelling,3216323
district,798,,City of Johannesburg,Tap water inside dwelling,3206446
municipality,6403,,City of Matlosana,Tap water inside dwelling,199249
municipality,8326,,City of Mbombela,Tap water inside dwelling,167804
district,799,,City of Tshwane,Tap water inside dwelling,2067787
municipality,5254,,Dannhauser,Tap water inside dwelling,11713
municipality,3087,,Dawid Kruiper,Tap water inside dwelling,54238
municipality,4192,,Dihlabeng,Tap water inside dwelling,59129
municipality,3092,,Dikgatlong,Tap water inside dwelling,12433
municipality,8306,,Dipaleseng,Tap water inside dwelling,13425
municipality,6384,,Ditsobotla,Tap water inside dwelling,55151
municipality,2101,,Dr Beyers Naude,Tap water inside dwelling,46206
municipality,8316,,Dr JS Moroka,Tap water inside dwelling,23742
district,640,,Dr Kenneth Kaunda,Tap water inside dwelling,333008
municipality,5436,,Dr Nkosazana Dlamini Zuma,Tap water inside dwelling,7036
municipality,8304,,Dr Pixley Ka Isaka Seme,Tap water inside dwelling,20873
district,639,,Dr Ruth Segomotsi Mompati,Tap water inside dwelling,63815
municipality,1023,,Drakenstein,Tap water inside dwelling,244031
province,EC,,Eastern Cape,Tap water inside dwelling,2087061
district,104,,Garden Route,Tap water inside dwelling,478262
district,832,,Ehlanzeni,Tap water inside dwelling,255860
district,797,,Ekurhuleni,Tap water inside dwelling,2037791
municipality,9472,,Elias Motsoaledi,Tap water inside dwelling,13959
municipality,2141,,Elundini,Tap water inside dwelling,13295
municipality,5253,,Emadlangeni,Tap water inside dwelling,5725
municipality,8314,,Emakhazeni,Tap water inside dwelling,22399
municipality,8312,,Emalahleni,Tap water inside dwelling,285729
municipality,2136,,Emalahleni,Tap water inside dwelling,5163
municipality,7421,,Emfuleni,Tap water inside dwelling,556797
municipality,3073,,Emthanjeni,Tap water inside dwelling,24167
municipality,5241,,Endumeni,Tap water inside dwelling,37207
municipality,2137,,Engcobo,Tap water inside dwelling,6542
municipality,2139,,Enoch Mgijima,Tap water inside dwelling,109736
municipality,9471,,Ephraim Mogale,Tap water inside dwelling,6662
district,420,,Fezile Dabi,Tap water inside dwelling,239196
district,309,,Frances Baard,Tap water inside dwelling,197138
province,FS,,Free State,Tap water inside dwelling,1064388
municipality,3452,,Ga-Segonyana,Tap water inside dwelling,12380
municipality,3453,,Gamagara,Tap water inside dwelling,32398
province,GT,,Gauteng,Tap water inside dwelling,8505288
municipality,1044,,George,Tap water inside dwelling,155917
district,830,,Gert Sibande,Tap water inside dwelling,381982
municipality,8307,,Govan Mbeki,Tap water inside dwelling,160586
municipality,2123,,Great Kei,Tap water inside dwelling,2504
municipality,9331,,Greater Giyani,Tap water inside dwelling,25350
municipality,5433,,Greater Kokstad,Tap water inside dwelling,20590
municipality,9332,,Greater Letaba,Tap water inside dwelling,9463
municipality,6394,,Greater Taung,Tap water inside dwelling,7363
municipality,9476,,Greater Tubatse/Fetakgomo,Tap water inside dwelling,13298
municipality,9333,,Greater Tzaneen,Tap water inside dwelling,44960
municipality,3065,,Hantam,Tap water inside dwelling,14479
municipality,1042,,Hessequa,Tap water inside dwelling,48136
municipality,5224,,Impendle,Tap water inside dwelling,596
municipality,5237,,Inkosi Langalibalele,Tap water inside dwelling,24443
municipality,2135,,Intsika Yethu,Tap water inside dwelling,4106
